ds,yhat
2020-08-24,1701.859147480758
2020-08-25,1696.1153891466079
2020-08-26,1705.3200616484091
2020-08-27,1687.5014819594762
2020-08-28,1699.3910755157672
2020-08-29,1683.8571935672685
2020-08-30,1695.741399838989
2020-08-31,1697.5615254270201
2020-09-01,1690.5781926287013
2020-09-02,1698.1580112095048
2020-09-03,1678.3472363879416
2020-09-04,1687.9033077724664
2020-09-05,1669.7281360150314
2020-09-06,1678.7036907462884
2020-09-07,1677.3942030646272
2020-09-08,1667.111701274021
2020-09-09,1671.2781046569412
2020-09-10,1647.9976887065009
2020-09-11,1654.0873675315438
2020-09-12,1632.5086884499794
2020-09-13,1638.2021217179645
2020-09-14,1633.78798852166
2020-09-15,1620.6307755518444
2020-09-16,1622.2000896499594
2020-09-17,1596.6420930330653
2020-09-18,1600.808889604704
2020-09-19,1577.6897792513068
2020-09-20,1582.2449814707488
2020-09-21,1577.1061858817377
2020-09-22,1563.6406879710503
2020-09-23,1565.3123689037864
2020-09-24,1540.253360341544
2020-09-25,1545.293860228976
2020-09-26,1523.3940069443443
2020-09-27,1529.4783988673753
2020-09-28,1526.137598096949
2020-09-29,1514.6933537419422
2020-09-30,1518.5607770547745
2020-10-01,1495.8212797898113
2020-10-02,1503.253709859036
2020-10-03,1483.7675582397126
2020-10-04,1492.238790002745
2020-10-05,1491.2126041239437
2020-10-06,1481.9698244025208
2020-10-07,1487.8901224983824
2020-10-08,1467.0258558645976
2020-10-09,1476.1339294844752
2020-10-10,1458.1095343433194
2020-10-11,1467.822299231215
2020-10-12,1467.819149522391
2020-10-13,1459.3905698745903
2020-10-14,1465.9334723516522
2020-10-15,1445.524459212625
2020-10-16,1454.9509016583477
2020-10-17,1437.1437055558183
2020-10-18,1447.012324176667
2020-10-19,1447.1463398794344
2020-10-20,1438.8803441682774
2020-10-21,1445.6553535655064
2020-10-22,1425.5905890563697
2020-10-23,1435.5130805392942
2020-10-24,1418.389008066643
2020-10-25,1429.1573802445942
2020-10-26,1430.4304105696879
2020-10-27,1423.5573574486948
2020-10-28,1431.9850981277134
2020-10-29,1413.8292926143945
2020-10-30,1425.9036220667078
2020-10-31,1411.151030460188
2020-11-01,1424.4775803536554
2020-11-02,1428.4532869785653
2020-11-03,1424.376692604379
2020-11-04,1435.6364402948427
2020-11-05,1420.2836848423692
2020-11-06,1435.0628001679602
2020-11-07,1422.844280421611
2020-11-08,1438.4604082927601
2020-11-09,1444.4080125418232
2020-11-10,1441.9150305443338
2020-11-11,1454.304085952886
2020-11-12,1439.5668685729715
2020-11-13,1454.3967246261182
2020-11-14,1441.6233043745792
2020-11-15,1456.049792500075
2020-11-16,1460.1569985298402
2020-11-17,1455.170982984945
2020-11-18,1464.4273949373505
2020-11-19,1445.9462803437177
2020-11-20,1456.46474911417
2020-11-21,1438.871335854929
2020-11-22,1448.0425762872728
2020-11-23,1446.5460821494544
2020-11-24,1435.7068047186654
2020-11-25,1438.9696858642844
2020-11-26,1414.4724875966401
2020-11-27,1419.0762274061226
2020-11-28,1395.79710060436
2020-11-29,1399.6404638648496
2020-11-30,1393.3012197222163
2020-12-01,1378.2273525747491
2020-12-02,1377.9798775573859
2020-12-03,1350.8030562629494
2020-12-04,1353.6523686770995
2020-12-05,1329.6241821343813
2020-12-06,1333.7877471484067
2020-12-07,1328.883910185193
2020-12-08,1316.3873376012266
2020-12-09,1319.8655480176308
2020-12-10,1297.5486342630481
2020-12-11,1306.3571819027277
2020-12-12,1289.3323327560975
2020-12-13,1301.4686204921604
2020-12-14,1305.413955195777
2020-12-15,1302.5335277291665
2020-12-16,1316.2708979897286
2020-12-17,1304.7201059453907
2020-12-18,1324.6562620385716
2020-12-19,1318.9685078899322
2020-12-20,1342.4959111708279
2020-12-21,1357.7306040230617
2020-12-22,1365.8848656094237
2020-12-23,1390.2553415695734
2020-12-24,1388.7981685421082
2020-12-25,1418.1623919013252
2020-12-26,1421.125503115671
2020-12-27,1452.4316015437985
2020-12-28,1474.4964378877253
2020-12-29,1488.4759958960835
2020-12-30,1517.631770343522
2020-12-31,1519.9064848047574
2021-01-01,1551.9576234515623
2021-01-02,1556.5926004471112
2021-01-03,1588.6060801045455
2021-01-04,1610.4837243912953
2021-01-05,1623.4690543057736
2021-01-06,1650.926622966159
2021-01-07,1650.915292682688
2021-01-08,1680.2190467887417
2021-01-09,1681.779222801682
2021-01-10,1710.528748028853
2021-01-11,1729.0927254851817
2021-01-12,1738.8521295672977
2021-01-13,1763.3038821462076
2021-01-14,1760.6311723334725
2021-01-15,1787.7315181607273
2021-01-16,1787.6465190880353
2021-01-17,1815.3939362059034
2021-01-18,1833.6664958451852
2021-01-19,1843.8942148704868
2021-01-20,1869.6035472373337
2021-01-21,1868.987233428998
2021-01-22,1898.9323584201125
2021-01-23,1902.4505634180514
2021-01-24,1934.5110336531977
2021-01-25,1957.74063282288
2021-01-26,1973.4879475069547
2021-01-27,2005.1844972278645
2021-01-28,2010.9169400320773
2021-01-29,2047.4577209735553
2021-01-30,2057.698045399127
2021-01-31,2096.4837324500763
2021-02-01,2126.3182506556495
2021-02-02,2148.429630017849
2021-02-03,2186.1344388200514
2021-02-04,2197.4125906975255
2021-02-05,2238.9403696425306
2021-02-06,2253.5255011776235
2021-02-07,2295.944778729643
2021-02-08,2328.648509043079
2021-02-09,2352.8284421754684
2021-02-10,2391.7823552476007
2021-02-11,2403.489046574163
2021-02-12,2444.6411291942773
2021-02-13,2458.0794634926915
2021-02-14,2498.629759109621
2021-02-15,2528.805640221284
2021-02-16,2549.8748782026737
2021-02-17,2585.2220064875287
2021-02-18,2592.9211258572714
2021-02-19,2629.7663453981722
2021-02-20,2638.7037581972777
2021-02-21,2674.665543013769
2021-02-22,2700.2705471634044
